Wed Jun 19 09:25:43 2024    profile/profile_output

         20631178 function calls (20380284 primitive calls) in 19.739 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.100    0.050 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
      208    0.002    0.000    0.097    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:536(__init__)
     1509    0.003    0.000    0.097    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\templates.py:348(apply)
        2    0.000    0.000    0.085    0.042 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:996(_finalize_specific)
       81    0.000    0.000    0.085    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\base.py:1189(__call__)
       81    0.000    0.000    0.084    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\base.py:1218(wrapper)
        2    0.000    0.000    0.081    0.040 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:667(_optimize_final_module)
        4    0.000    0.000    0.081    0.020 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\passmanagers.py:681(run)
     2320    0.011    0.000    0.080    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:114(winapi_test)
   906653    0.078    0.000    0.078    0.000 {method 'getrandbits' of '_random.Random' objects}
   139361    0.078    0.000    0.078    0.000 g:\Project\Celestial-Chess\tools\mcts_func.py:5(get_best_index)
   696474    0.078    0.000    0.078    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:867(_copy_dispatcher)
       23    0.001    0.000    0.078    0.003 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:726(lower_binop)
        6    0.000    0.000    0.078    0.013 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:1058(wrapper)
        2    0.000    0.000    0.077    0.039 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\executionengine.py:94(finalize_object)
4927/4912    0.003    0.000    0.077    0.000 {built-in method builtins.any}
     4640    0.003    0.000    0.068    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:115(<genexpr>)
   362875    0.054    0.000    0.067    0.000 {built-in method builtins.isinstance}
     2320    0.064    0.000    0.065    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:108(_winapi_test)
       18    0.001    0.000    0.065    0.004 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\postproc.py:71(run)
       36    0.000    0.000    0.064    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:233(__repr__)
       36    0.000    0.000    0.064    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:207(_get_body_lines)
        2    0.000    0.000    0.064    0.032 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:273(create_cpython_wrapper)
        2    0.000    0.000    0.063    0.032 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\cpu.py:181(create_cpython_wrapper)
       36    0.000    0.000    0.063    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:212(<listcomp>)
        4    0.001    0.000    0.062    0.016 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
       84    0.000    0.000    0.060    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1013(__str__)
       65    0.001    0.000    0.060    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:575(__call__)
       84    0.000    0.000    0.060    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1006(descr)
19538/9752    0.019    0.000    0.059    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.056    0.009 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:999(descr_body)
      213    0.001    0.000    0.055    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1172(descr)
      155    0.000    0.000    0.055    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:1493(resolve_value_type)
      213    0.003    0.000    0.054    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1174(<listcomp>)
11047/4779    0.009    0.000    0.053    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
     2320    0.052    0.000    0.052    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:170(GetConsoleMode)
   138/88    0.001    0.000    0.051    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\functools.py:961(__get__)
  135/107    0.001    0.000    0.049    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\base.py:526(get_function)
34818/6076    0.033    0.000    0.048    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir.py:318(_rec_list_vars)
        2    0.000    0.000    0.045    0.022 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\untyped_passes.py:244(run_pass)
      168    0.001    0.000    0.044    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\templates.py:606(generic)
     3101    0.007    0.000    0.044    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:544(_to_string)
        8    0.000    0.000    0.043    0.005 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:796(lower_getitem)
   100001    0.043    0.000    0.043    0.000 g:\Project\Celestial-Chess\game\chess_game.py:114(get_balance_num)
     4999    0.002    0.000    0.043    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir.py:351(list_vars)
   150002    0.042    0.000    0.042    0.000 g:\Project\Celestial-Chess\game\chess_game.py:151(get_color)
       49    0.001    0.000    0.042    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\cgutils.py:99(__init__)
      157    0.001    0.000    0.042    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\types\misc.py:72(literal)
   546473    0.041    0.000    0.041    0.000 {method 'bit_length' of 'int' objects}
9410/8920    0.005    0.000    0.040    0.000 {built-in method builtins.next}
    50000    0.038    0.000    0.038    0.000 {built-in method numpy.empty}
       25    0.000    0.000    0.038    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\np\arrayobj.py:77(_make_refs)
       20    0.007    0.000    0.038    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
       45    0.000    0.000    0.038    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\context.py:329(resolve_setitem)
       42    0.000    0.000    0.037    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir.py:1542(infer_constant)
    53/42    0.000    0.000    0.037    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\consts.py:24(infer_constant)
       60    0.000    0.000    0.036    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\pprint.py:57(pformat)
       36    0.000    0.000    0.036    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:698(__init__)
        2    0.000    0.000    0.036    0.018 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\callwrapper.py:101(build)
      108    0.000    0.000    0.036    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:1573(_lit_or_omitted)
       60    0.000    0.000    0.035    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\pprint.py:155(pformat)
        2    0.000    0.000    0.035    0.018 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\callwrapper.py:126(build_wrapper)
  1873/60    0.003    0.000    0.035    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\pprint.py:167(_format)
      168    0.001    0.000    0.035    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\templates.py:697(_get_impl)
      212    0.002    0.000    0.035    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\npydecl.py:196(generic)
       18    0.000    0.000    0.034    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\postproc.py:42(usedefs)
    43/36    0.000    0.000    0.033    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\consts.py:56(_do_infer)
        9    0.000    0.000    0.033    0.004 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:581(lower_setitem)
  367/332    0.000    0.000    0.032    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir_utils.py:1542(guard)
    50000    0.032    0.000    0.032    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:20(calculate_no_inf)
     1124    0.001    0.000    0.032    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\targetconfig.py:196(values)
44679/44598    0.015    0.000    0.031    0.000 {built-in method builtins.getattr}
      212    0.002    0.000    0.031    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\npydecl.py:92(generic)
