Mon Jun 17 19:37:27 2024    profile/profile_output

         14950528 function calls (13567097 primitive calls) in 7.207 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      509    0.001    0.000    0.150    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:243(__init__)
      509    0.001    0.000    0.149    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\initialise.py:37(init)
     1018    0.002    0.000    0.148    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\initialise.py:111(wrap_stream)
     1018    0.006    0.000    0.146    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\ansitowin32.py:81(__init__)
   128583    0.032    0.000    0.142    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:871(copy)
      401    0.000    0.000    0.127    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:335(errmsg)
   128584    0.127    0.000    0.127    0.000 g:\Project\Celestial-Chess\game\tools_func.py:5(get_zero_index)
  1761363    0.121    0.000    0.121    0.000 {built-in method builtins.id}
   118583    0.087    0.000    0.116    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:239(_randbelow_with_getrandbits)
   128583    0.110    0.000    0.110    0.000 {built-in method numpy.array}
       67    0.000    0.000    0.107    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:233(__repr__)
       67    0.000    0.000    0.106    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:207(_get_body_lines)
       67    0.000    0.000    0.106    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:212(<listcomp>)
       95    0.000    0.000    0.103    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1013(__str__)
31664/14576    0.054    0.000    0.103    0.000 {method 'format' of 'str' objects}
       95    0.000    0.000    0.103    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1006(descr)
        9    0.000    0.000    0.099    0.011 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:999(descr_body)
      368    0.001    0.000    0.099    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1172(descr)
18844/7914    0.010    0.000    0.098    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
      368    0.001    0.000    0.098    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1174(<listcomp>)
     1018    0.004    0.000    0.097    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\winterm.py:178(enable_vt_processing)
        3    0.000    0.000    0.096    0.032 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
      228    0.006    0.000    0.096    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\types\functions.py:281(get_call_type)
      197    0.001    0.000    0.094    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:536(__init__)
   140494    0.092    0.000    0.092    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
   462088    0.091    0.000    0.091    0.000 g:\Project\Celestial-Chess\ai\mcts.py:30(get_win_rate)
      148    0.001    0.000    0.091    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:704(__call__)
      220    0.002    0.000    0.090    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:585(resolve)
     5324    0.008    0.000    0.089    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:544(_to_string)
      294    0.000    0.000    0.084    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\context.py:189(resolve_function_type)
        3    0.000    0.000    0.083    0.028 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:996(_finalize_specific)
    83/79    0.000    0.000    0.083    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\base.py:1189(__call__)
        3    0.000    0.000    0.082    0.027 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:667(_optimize_final_module)
        6    0.000    0.000    0.082    0.014 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\passmanagers.py:681(run)
    83/79    0.000    0.000    0.082    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\base.py:1218(wrapper)
      219    0.000    0.000    0.081    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:1539(resolve_call)
      294    0.001    0.000    0.079    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\context.py:233(_resolve_user_function_type)
      290    0.001    0.000    0.078    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\context.py:374(resolve_value_type)
        9    0.000    0.000    0.078    0.009 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:1058(wrapper)
        3    0.000    0.000    0.077    0.026 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\executionengine.py:94(finalize_object)
      299    0.001    0.000    0.075    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\typeof.py:27(typeof)
        8    0.001    0.000    0.071    0.009 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
       41    0.001    0.000    0.067    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\postproc.py:71(run)
        3    0.000    0.000    0.066    0.022 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:273(create_cpython_wrapper)
        3    0.000    0.000    0.066    0.022 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\cpu.py:181(create_cpython_wrapper)
        3    0.000    0.000    0.060    0.020 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\untyped_passes.py:212(run_pass)
     2036    0.007    0.000    0.060    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:114(winapi_test)
   462087    0.059    0.000    0.059    0.000 {built-in method math.log}
4423/4410    0.002    0.000    0.058    0.000 {built-in method builtins.any}
  662/509    0.000    0.000    0.057    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir_utils.py:1542(guard)
   462087    0.056    0.000    0.056    0.000 {built-in method math.sqrt}
   862208    0.056    0.000    0.056    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:182(_deepcopy_atomic)
    60182    0.016    0.000    0.055    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:264(<genexpr>)
  323/208    0.001    0.000    0.055    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\functools.py:961(__get__)
     1373    0.002    0.000    0.054    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\templates.py:348(apply)
      5/3    0.000    0.000    0.052    0.017 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\inline_closurecall.py:88(run)
     4072    0.002    0.000    0.052    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:115(<genexpr>)
     2036    0.050    0.000    0.050    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:108(_winapi_test)
       16    0.001    0.000    0.049    0.003 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:726(lower_binop)
44407/8438    0.034    0.000    0.048    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir.py:318(_rec_list_vars)
       40    0.000    0.000    0.047    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir.py:1542(infer_constant)
    53/40    0.000    0.000    0.047    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\consts.py:24(infer_constant)
       54    0.000    0.000    0.046    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:698(__init__)
     2036    0.045    0.000    0.045    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:170(GetConsoleMode)
        3    0.000    0.000    0.044    0.015 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\untyped_passes.py:244(run_pass)
   332637    0.035    0.000    0.044    0.000 {built-in method builtins.isinstance}
     6978    0.002    0.000    0.044    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\ir.py:351(list_vars)
    46/37    0.000    0.000    0.043    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\consts.py:56(_do_infer)
238226/238143    0.034    0.000    0.043    0.000 {built-in method builtins.getattr}
   128583    0.042    0.000    0.042    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\serialize.py:30(_numba_unpickle)
      153    0.001    0.000    0.041    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\cgutils.py:99(__init__)
      300    0.000    0.000    0.039    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\instructions.py:175(descr)
      300    0.001    0.000    0.039    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\instructions.py:133(_descr)
       90    0.000    0.000    0.039    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\pprint.py:57(pformat)
